DISTRICT,ST_NM,date,mean
Bharatpur,Rajasthan,2014-01-01T00:00:00,0.979558867545122
Bhilwara,Rajasthan,2014-01-01T00:00:00,0.499733237057548
Bikaner,Rajasthan,2014-01-01T00:00:00,0.32418939915095
Bundi,Rajasthan,2014-01-01T00:00:00,0.553674842604855
Chittaurgarh,Rajasthan,2014-01-01T00:00:00,0.757478234101501
Churu,Rajasthan,2014-01-01T00:00:00,0.350888072535717
Dhaulpur,Rajasthan,2014-01-01T00:00:00,0.570888730137217
Dungarpur,Rajasthan,2014-01-01T00:00:00,0.31633863942958
Ganganagar,Rajasthan,2014-01-01T00:00:00,0.395496069969465
Hanumangarh,Rajasthan,2014-01-01T00:00:00,0.247593610781319
Jaipur,Rajasthan,2014-01-01T00:00:00,1.93409156575902
Jaisalmer,Rajasthan,2014-01-01T00:00:00,0.123778762749617
Jalor,Rajasthan,2014-01-01T00:00:00,0.226286134022374
Jhalawar,Rajasthan,2014-01-01T00:00:00,0.62218741358764
Jhunjhunun,Rajasthan,2014-01-01T00:00:00,0.880761779229326
Jodhpur,Rajasthan,2014-01-01T00:00:00,0.715970424385523
Chandigarh,Chandigarh,2014-01-01T00:00:00,18.0303898079313
Mahe,Puducherry,2014-01-01T00:00:00,1.69621978049048
Karaikal,Puducherry,2014-01-01T00:00:00,2.99179439667311
Puducherry,Puducherry,2014-01-01T00:00:00,6.18544363813158
Yanam,Puducherry,2014-01-01T00:00:00,5.4014404768
Kancheepuram,Tamil Nadu,2014-01-01T00:00:00,3.0220480717948
Kanniyakumari,Tamil Nadu,2014-01-01T00:00:00,1.11243976824993
Karur,Tamil Nadu,2014-01-01T00:00:00,0.696382802520078
Krishnagiri,Tamil Nadu,2014-01-01T00:00:00,0.53957158831989
Madurai,Tamil Nadu,2014-01-01T00:00:00,0.928836238572276
Namakkal,Tamil Nadu,2014-01-01T00:00:00,0.973386086270728
Perambalur,Tamil Nadu,2014-01-01T00:00:00,0.594531194169602
Pudukkottai,Tamil Nadu,2014-01-01T00:00:00,0.454640453253701
Ramanathapuram,Tamil Nadu,2014-01-01T00:00:00,0.271280456394508
Salem,Tamil Nadu,2014-01-01T00:00:00,1.39595626118527
Sivaganga,Tamil Nadu,2014-01-01T00:00:00,0.369623347522588
Thanjavur,Tamil Nadu,2014-01-01T00:00:00,0.850286913079797
The Nilgiris,Tamil Nadu,2014-01-01T00:00:00,0.341900294987855
Theni,Tamil Nadu,2014-01-01T00:00:00,0.363943821245941
Thiruvallur,Tamil Nadu,2014-01-01T00:00:00,2.79720917533801
Thiruvarur,Tamil Nadu,2014-01-01T00:00:00,0.638707683247123
Thoothukkudi,Tamil Nadu,2014-01-01T00:00:00,0.676568850007117
Tiruchirappalli,Tamil Nadu,2014-01-01T00:00:00,1.05025910850969
Tirunelveli,Tamil Nadu,2014-01-01T00:00:00,0.821187067470686
Tiruppur,Tamil Nadu,2014-01-01T00:00:00,0.956448186032103
Tiruvannamalai,Tamil Nadu,2014-01-01T00:00:00,0.586002618092653
Vellore,Tamil Nadu,2014-01-01T00:00:00,0.934016603856402
Viluppuram,Tamil Nadu,2014-01-01T00:00:00,0.760925703879203
Virudunagar,Tamil Nadu,2014-01-01T00:00:00,0.61535026772529
Nagappattinam,Tamil Nadu,2014-01-01T00:00:00,0.707041446686954
Ariyalur,Tamil Nadu,2014-01-01T00:00:00,0.680913767398678
Chennai,Tamil Nadu,2014-01-01T00:00:00,26.4670754454553
Coimbatore,Tamil Nadu,2014-01-01T00:00:00,1.40538895799367
Cuddalore,Tamil Nadu,2014-01-01T00:00:00,1.47408949466838
Dharmapuri,Tamil Nadu,2014-01-01T00:00:00,0.387303189663629
Dindigul,Tamil Nadu,2014-01-01T00:00:00,0.54264019587893
Erode,Tamil Nadu,2014-01-01T00:00:00,0.688352299672034
Daman,Daman & Diu,2014-01-01T00:00:00,9.63324728564016
Diu,Daman & Diu,2014-01-01T00:00:00,2.81897602251966
Lakshadweep,Lakshadweep,2014-01-01T00:00:00,-0.025113393711663
Kolhapur,Maharashtra,2014-01-01T00:00:00,0.394197581391309
Latur,Maharashtra,2014-01-01T00:00:00,0.279083996563905
Mumbai,Maharashtra,2014-01-01T00:00:00,19.530812990369
Mumbai Suburban,Maharashtra,2014-01-01T00:00:00,20.1610663237111
Nagpur,Maharashtra,2014-01-01T00:00:00,1.13895205837908
Nanded,Maharashtra,2014-01-01T00:00:00,0.338544209545992
Nandurbar,Maharashtra,2014-01-01T00:00:00,0.300728110524905
Nashik,Maharashtra,2014-01-01T00:00:00,0.642593952394462
Osmanabad,Maharashtra,2014-01-01T00:00:00,0.241008899484654
Parbhani,Maharashtra,2014-01-01T00:00:00,0.429592206869044
Pune,Maharashtra,2014-01-01T00:00:00,1.4253907074766
Raigarh,Maharashtra,2014-01-01T00:00:00,1.67525621531343
Ratnagiri,Maharashtra,2014-01-01T00:00:00,0.099418169777266
Sangli,Maharashtra,2014-01-01T00:00:00,0.394019833932389
Satara,Maharashtra,2014-01-01T00:00:00,0.317705265567159
Sindhudurg,Maharashtra,2014-01-01T00:00:00,0.057089382261668
Solapur,Maharashtra,2014-01-01T00:00:00,0.695031411465559
Thane,Maharashtra,2014-01-01T00:00:00,1.92444321110423
Wardha,Maharashtra,2014-01-01T00:00:00,0.495400271101471
Washim,Maharashtra,2014-01-01T00:00:00,0.434281931865582
Yavatmal,Maharashtra,2014-01-01T00:00:00,0.437410559299983
Ahmadnagar,Maharashtra,2014-01-01T00:00:00,0.528683595234347
Akola,Maharashtra,2014-01-01T00:00:00,0.561659831837746
Amravati,Maharashtra,2014-01-01T00:00:00,0.472867676890029
Aurangabad,Maharashtra,2014-01-01T00:00:00,0.528554896495437
Bhandara,Maharashtra,2014-01-01T00:00:00,0.284885696834072
Bid,Maharashtra,2014-01-01T00:00:00,0.350119928429548
Buldana,Maharashtra,2014-01-01T00:00:00,0.36117316668868
Chandrapur,Maharashtra,2014-01-01T00:00:00,0.396646217405211
Dhule,Maharashtra,2014-01-01T00:00:00,0.297832821113975
Garhchiroli,Maharashtra,2014-01-01T00:00:00,0.057670067634696
Gondiya,Maharashtra,2014-01-01T00:00:00,0.25981407470587
Hingoli,Maharashtra,2014-01-01T00:00:00,0.299828628080526
Jalgaon,Maharashtra,2014-01-01T00:00:00,0.401311156442997
Jalna,Maharashtra,2014-01-01T00:00:00,0.342954853778982
Nainital,Uttarakhand,2014-01-01T00:00:00,0.526798179802933
Pithoragarh,Uttarakhand,2014-01-01T00:00:00,0.261143892496536
Rudraprayag,Uttarakhand,2014-01-01T00:00:00,0.325658311230323
Tehri Garhwal,Uttarakhand,2014-01-01T00:00:00,0.503746420171686
Udham Singh Nagar,Uttarakhand,2014-01-01T00:00:00,1.86996117221772
Uttarkashi,Uttarakhand,2014-01-01T00:00:00,0.228544535465723
Almora,Uttarakhand,2014-01-01T00:00:00,0.314749843150742
Bageshwar,Uttarakhand,2014-01-01T00:00:00,0.204924161979242
Chamoli,Uttarakhand,2014-01-01T00:00:00,0.278402690319498
Champawat,Uttarakhand,2014-01-01T00:00:00,0.199000715385134
Dehradun,Uttarakhand,2014-01-01T00:00:00,1.36871348601079
Garhwal,Uttarakhand,2014-01-01T00:00:00,0.262973832235532
Hardwar,Uttarakhand,2014-01-01T00:00:00,1.91916375432903
Koch Bihar,West Bengal,2014-01-01T00:00:00,0.533283707791244
Kolkata,West Bengal,2014-01-01T00:00:00,53.5863924831981
Maldah,West Bengal,2014-01-01T00:00:00,0.588203100143969
Murshidabad,West Bengal,2014-01-01T00:00:00,0.912772398830275
Nadia,West Bengal,2014-01-01T00:00:00,1.01696614281988
North 24 Parganas,West Bengal,2014-01-01T00:00:00,1.827302044634
Pashchim Medinipur,West Bengal,2014-01-01T00:00:00,0.587861235178053
Purba Medinipur,West Bengal,2014-01-01T00:00:00,1.27968194891798
Puruliya,West Bengal,2014-01-01T00:00:00,0.492285752880265
South 24 Parganas,West Bengal,2014-01-01T00:00:00,1.98908339556341
Uttar Dinajpur,West Bengal,2014-01-01T00:00:00,0.717480856505062
Bankura,West Bengal,2014-01-01T00:00:00,0.585194071591508
Barddhaman,West Bengal,2014-01-01T00:00:00,1.88469173277371
Birbhum,West Bengal,2014-01-01T00:00:00,0.821052489405743
Dakshin Dinajpur,West Bengal,2014-01-01T00:00:00,0.522149238115754
Darjiling,West Bengal,2014-01-01T00:00:00,0.527330269152759
Haora,West Bengal,2014-01-01T00:00:00,2.99502562845038
Hugli,West Bengal,2014-01-01T00:00:00,1.37282886709612
Jalpaiguri,West Bengal,2014-01-01T00:00:00,0.458849249487009
